asset_name,lat,lon,slot_type,label_on_street
303,37.996458,23.815177,Κανονική,33
305,37.996534,23.814833,Κανονική,1
306,37.996536,23.814793,Κανονική,2
307,37.99654,23.814756,Κανονική,3
308,37.996541,23.814724,Κανονική,4
309,37.996541,23.814685,Κανονική,5
310,37.996542,23.814658,Κανονική,6
311,37.996543,23.814638,Κανονική,7
312,37.996541,23.814614,Κανονική,8
313,37.99654,23.814588,Κανονική,9
314,37.996539,23.814563,Κανονική,10
315,37.996536,23.814536,Κανονική,11
316,37.996538,23.814507,Κανονική,12
317,37.996538,23.814482,Κανονική,13
318,37.996538,23.814458,Κανονική,14
319,37.996534,23.814431,Κανονική,15
320,37.996533,23.81439,Κανονική,16
321,37.996477,23.814887,Κανονική,17
322,37.996475,23.814854,Κανονική,18
323,37.996474,23.814821,Κανονική,19
324,37.996477,23.814773,Κανονική,20
325,37.996477,23.814741,Κανονική,21
326,37.996474,23.814712,Κανονική,22
327,37.996474,23.814689,Κανονική,23
328,37.996473,23.814663,Κανονική,24
329,37.996473,23.814642,Κανονική,25
330,37.996474,23.814623,Κανονική,26
331,37.996473,23.8146,Κανονική,27
332,37.996473,23.814574,Κανονική,28
333,37.996474,23.814539,Κανονική,29
334,37.996475,23.814511,Κανονική,30
335,37.996476,23.814472,Κανονική,31
336,37.996471,23.814415,Κανονική,32
369,37.9964,23.815177,Κανονική,34
370,37.99634,23.81518,Κανονική,35
371,37.99628,23.815178,Κανονική,36
372,37.997244,23.816596,Κανονική,37
373,37.997153,23.816625,Κανονική,38
374,37.997093,23.816639,Κανονική,39
375,37.997037,23.816659,Κανονική,40
376,37.997967,23.819332,Κανονική,41
377,37.997926,23.819266,Κανονική,42
378,37.99787,23.819205,Κανονική,43
379,37.997823,23.819153,Κανονική,44
380,37.998008,23.818902,Κανονική,45
381,37.99798,23.818866,Κανονική,46
382,37.997946,23.81881,Κανονική,47
383,37.997923,23.818779,Κανονική,48
399,37.996394,23.814303,ΑΜΕΑ,
